Section,Video #,Title,Duration,Duration (mins)
"Week 1 – Getting Started",1,"Welcome & Course Overview",8m 14s,8.2
"Week 1 – Getting Started",2,"Setting Up Your Environment",12m 33s,12.6
"Week 1 – Getting Started",3,"Core Concepts Explained",24m 07s,24.1
"Week 1 – Getting Started",4,"Your First Project",31m 52s,31.9
"Week 1 – Getting Started – TOTAL","","",1h 16m 46s,76.8

"Week 2 – Building Foundations",1,"Understanding the Fundamentals",45m 10s,45.2
"Week 2 – Building Foundations",2,"Deep Dive: Part 1",1h 02m 18s,62.3
"Week 2 – Building Foundations",3,"Deep Dive: Part 2",58m 44s,58.7
"Week 2 – Building Foundations",4,"Practical Exercises",37m 29s,37.5
"Week 2 – Building Foundations",5,"Week 2 Recap & Next Steps",18m 55s,18.9
"Week 2 – Building Foundations – TOTAL","","",3h 22m 36s,202.6

"Week 3 – Advanced Techniques",1,"Introduction to Advanced Topics",22m 41s,22.7
"Week 3 – Advanced Techniques",2,"Advanced Method A",1h 14m 03s,74.1
"Week 3 – Advanced Techniques",3,"Advanced Method B",1h 28m 37s,88.6
"Week 3 – Advanced Techniques",4,"Case Study Walkthrough",52m 19s,52.3
"Week 3 – Advanced Techniques",5,"Q&A and Common Mistakes",41m 08s,41.1
"Week 3 – Advanced Techniques – TOTAL","","",4h 38m 48s,278.8

"Week 4 – Putting It All Together",1,"Bringing Everything Together",33m 22s,33.4
"Week 4 – Putting It All Together",2,"Live Example: Full Workflow",1h 41m 55s,101.9
"Week 4 – Putting It All Together",3,"Scaling & Next Steps",29m 47s,29.8
"Week 4 – Putting It All Together",4,"Final Q&A",15m 03s,15.1
"Week 4 – Putting It All Together – TOTAL","","",3h 00m 07s,180.2

"GRAND TOTAL","","",12h 18m 17s,738.4
